datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-01-13 19:30:00,427.445,40.0,467.445,1
2013-01-14 19:30:00,427.12,40.0,467.12,1
2013-02-07 19:30:00,427.036,40.0,467.036,1
2013-02-10 19:00:00,426.632,40.0,466.632,1
2013-01-17 20:00:00,426.614,40.0,466.614,1
2013-01-17 18:30:00,426.489,40.0,466.489,1
2013-01-21 18:00:00,426.381,40.0,466.381,1
2013-01-14 20:00:00,425.487,40.0,465.487,1
2013-01-15 18:30:00,424.398,40.0,464.398,1
2013-01-12 18:30:00,424.311,40.0,464.311,1
2013-12-01 19:00:00,424.263,40.0,464.263,1
2013-02-09 18:30:00,423.784,40.0,463.784,1
2013-02-03 19:30:00,422.431,40.0,462.431,1
2013-02-10 19:30:00,421.111,40.0,461.111,1
2013-01-10 19:00:00,420.972,40.0,460.972,1
2013-02-07 18:30:00,420.964,40.0,460.964,1
2013-02-24 19:30:00,420.455,40.0,460.455,1
2013-01-28 19:00:00,419.958,40.0,459.958,1
2013-01-17 20:30:00,419.619,40.0,459.619,1
2013-01-18 20:00:00,419.576,40.0,459.576,1
2013-02-24 19:00:00,419.572,40.0,459.572,1
2013-01-25 20:00:00,419.286,40.0,459.286,1
2013-02-10 18:00:00,418.729,40.0,458.729,1
2013-12-01 18:30:00,418.574,40.0,458.574,1
2013-01-20 18:00:00,418.297,40.0,458.297,1
2013-12-01 18:00:00,417.992,40.0,457.992,1
2013-01-24 19:30:00,417.897,40.0,457.897,1
2013-02-03 18:00:00,416.888,40.0,456.888,1
2013-02-12 19:30:00,416.73,40.0,456.73,1
2013-02-12 20:00:00,416.653,40.0,456.653,1
2013-02-09 18:00:00,416.111,40.0,456.111,1
2013-01-25 18:30:00,415.978,40.0,455.978,1
2013-01-14 18:30:00,415.822,40.0,455.822,1
2013-02-06 19:30:00,414.789,40.0,454.789,1
2013-01-13 20:00:00,414.698,40.0,454.698,1
2013-01-16 18:00:00,414.404,40.0,454.404,1
2013-02-25 19:00:00,414.326,40.0,454.326,1
2013-12-01 19:30:00,413.761,40.0,453.761,1
2013-01-16 20:30:00,413.728,40.0,453.728,1
2013-02-03 18:30:00,413.72,40.0,453.72,1
2013-01-22 20:30:00,413.554,40.0,453.554,1
2013-02-26 19:00:00,413.493,40.0,453.493,1
2014-01-05 18:30:00,413.463,40.0,453.463,1
2013-02-03 19:00:00,413.231,40.0,453.231,1
2013-01-22 20:00:00,412.972,40.0,452.972,1
2013-01-23 20:00:00,412.651,40.0,452.651,1
2013-01-12 19:00:00,412.561,40.0,452.561,1
2013-02-09 19:30:00,412.304,40.0,452.304,1
2013-01-26 19:00:00,412.105,40.0,452.105,1
2013-01-28 18:30:00,411.849,40.0,451.849,1
2013-01-20 19:30:00,411.648,40.0,451.648,1
2013-02-13 19:00:00,411.451,40.0,451.451,1
2013-02-12 18:30:00,411.442,40.0,451.442,1
2013-01-19 18:00:00,411.185,40.0,451.185,1
2013-02-26 18:30:00,410.694,40.0,450.694,1
2013-01-23 18:00:00,410.649,40.0,450.649,1
2013-01-14 20:30:00,410.646,40.0,450.646,1
2013-02-24 18:30:00,410.44,40.0,450.44,1
2014-01-05 19:00:00,410.123,40.0,450.123,1
2014-01-05 19:30:00,409.854,40.0,449.854,1
2013-01-16 20:00:00,409.788,40.0,449.788,1
2013-02-26 19:30:00,409.753,40.0,449.753,1
2013-01-17 18:00:00,409.661,40.0,449.661,1
2013-02-25 18:30:00,408.84,40.0,448.84,1
2013-02-06 18:30:00,408.77,40.0,448.77,1
2013-01-26 18:30:00,407.909,40.0,447.909,1
2013-02-07 20:00:00,407.75,40.0,447.75,1
2013-02-22 19:00:00,407.657,40.0,447.657,1
2013-01-13 20:30:00,407.306,40.0,447.306,1
2013-02-13 18:30:00,406.792,40.0,446.792,1
2013-01-17 21:00:00,406.551,40.0,446.551,1
2013-02-13 19:30:00,406.493,40.0,446.493,1
2013-02-23 19:00:00,406.026,40.0,446.026,1
2013-02-23 18:30:00,405.987,40.0,445.987,1
2014-01-12 18:30:00,405.766,40.0,445.766,1
2013-01-24 20:00:00,405.655,40.0,445.655,1
2013-01-10 19:30:00,405.638,40.0,445.638,1
2013-01-10 18:30:00,405.589,40.0,445.589,1
2013-02-24 20:00:00,405.177,40.0,445.177,1
2013-02-04 19:00:00,405.172,40.0,445.172,1
2013-01-15 20:00:00,404.991,40.0,444.991,1
2013-02-10 20:00:00,404.269,40.0,444.269,1
2013-01-21 20:30:00,404.175,40.0,444.175,1
2013-02-25 20:00:00,404.165,40.0,444.165,1
2013-01-28 20:00:00,403.699,40.0,443.699,1
2013-01-19 19:30:00,403.54,40.0,443.54,1
2013-02-05 21:00:00,403.14,40.0,443.14,1
2013-01-19 19:00:00,403.107,40.0,443.107,1
2013-01-15 20:30:00,402.935,40.0,442.935,1
2013-01-25 18:00:00,402.91,40.0,442.91,1
2013-01-06 18:30:00,402.889,40.0,442.889,1
2013-01-12 18:00:00,402.78,40.0,442.78,1
2013-01-25 20:30:00,402.619,40.0,442.619,1
2013-01-18 20:30:00,402.47,40.0,442.47,1
2013-01-26 19:30:00,402.41,40.0,442.41,1
2013-02-08 19:30:00,402.382,40.0,442.382,1
2013-02-06 19:00:00,402.374,40.0,442.374,1
2013-01-22 18:00:00,402.002,40.0,442.002,1
2013-01-11 18:30:00,401.817,40.0,441.817,1
2013-01-11 19:30:00,401.786,40.0,441.786,1
2013-01-16 21:00:00,401.785,40.0,441.785,1
2013-01-21 21:00:00,401.215,40.0,441.215,1
2013-02-22 19:30:00,401.152,40.0,441.152,1
2013-02-11 20:30:00,401.128,40.0,441.128,1
2013-01-20 17:00:00,440.915,0.0,440.915,1
2014-02-09 18:30:00,400.698,40.0,440.698,1
2013-01-06 19:00:00,400.652,40.0,440.652,1
2013-01-14 18:00:00,400.439,40.0,440.439,1
2013-01-27 18:30:00,400.423,40.0,440.423,1
2013-01-19 18:30:00,400.059,40.0,440.059,1
2013-01-15 18:00:00,399.931,40.0,439.931,1
2013-01-14 21:00:00,399.92,40.0,439.92,1
2013-02-12 20:30:00,399.859,40.0,439.859,1
2013-01-12 19:30:00,399.644,40.0,439.644,1
2013-01-27 19:30:00,399.447,40.0,439.447,1
2013-03-11 19:30:00,439.335,0.0,439.335,1
2013-02-23 19:30:00,399.298,40.0,439.298,1
2013-02-25 20:30:00,399.229,40.0,439.229,1
2013-01-29 19:00:00,399.042,40.0,439.042,1
2013-12-19 19:00:00,398.868,40.0,438.868,1
2013-02-07 20:30:00,398.785,40.0,438.785,1
